time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.00273869,100992,1,0.0028893,84160,1,0.00278771,75744,1,0.00284839,67328,0.5,0.00114069,29456,0.5,0.000996594,25248,0.5,0.00156384,16832,0.5,0.00183976,12624,1,0.00272924,16832,1,0.00887999,8416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.00335485,134656,1,0.00282336,129045,1,0.00253183,117824,1,0.00253606,112213,0.5,0.0008972,53301.3,0.5,0.00083562,50496,0.5,0.000945424,47690.7,0.5,0.00097208,42080,1,0.00239907,78549.3,1,0.00325267,72938.7,0.5,0.000962307,33664,0,0,0,0.5,0.00123393,25248,0,0,0,0,0,0
4,1,0.00358171,151488,1,0.00283085,147280,1,0.00245476,143072,1,0.00245883,134656,0.5,0.000842218,65224,0.5,0.000803424,63120,0.5,0.000866686,61016,0.5,0.000871372,58912,1,0.00236486,109408,1,0.00299856,105200,0.5,0.000858729,50496,0,0,0,0.5,0.000960401,44184,0,0,0,0,0,0
5,1,0.00374306,161587,1,0.00283585,158221,1,0.00242197,154854,1,0.00242027,151488,0.5,0.000817919,72377.6,0.5,0.000789623,70694.4,0.5,0.000834036,69011.2,0.5,0.000836512,67328,1,0.00234954,131290,1,0.00292996,124557,0.5,0.000824204,60595.2,0,0,0,0.5,0.000881959,57228.8,0,0,0,0,0,0
6,0.991803,0.00373455,169723,1,0.00284676,165515,1,0.0024279,162709,0.947368,0.00246988,151488,0.5,0.000836008,78549.3,0.5,0.000839334,75744,0.5,0.000840198,74341.3,0.5,0.000817739,72938.7,1,0.00252796,143072,0.92,0.00478023,129045,0.4375,0.000814337,58912,0,0,0,0.434783,0.00086295,56106.7,0,0,0,0,0,0
7,1,0.00368866,175534,0.993056,0.00292142,171927,1,0.00248478,168320,0.869565,0.00254368,144274,0.5,0.000888662,81755.4,0.5,0.00092476,80553.1,0.5,0.000840501,78148.6,0.5,0.000806006,76946.3,1,0.00261085,151488,0.83871,0.00721278,125038,0.344262,0.000814337,50496,0,0,0,0.344828,0.00086295,48091.4,0,0,0,0,0,0
8,1,0.00373135,178840,1,0.00296195,176736,0.987952,0.0025168,172528,0.814815,0.00256476,138864,0.5,0.000903609,84160,0.5,0.000967437,83108,0.5,0.000899483,82056,0.5,0.000797979,79952,1,0.00272605,157800,0.790541,0.00908827,123084,0.287671,0.000814337,44184,0,0,0,0.285714,0.00086295,42080,0,0,0,0,0,0
9,1,0.00375439,181412,1,0.00291064,179541,1,0.00255593,177671,0.774194,0.00260746,134656,0.5,0.000915041,86030.2,0.5,0.00100262,85095.1,0.5,0.000905603,84160,0.5,0.000791725,83224.9,1,0.00281035,162709,0.75,0.0103274,120629,0.247059,0.000814337,39274.7,0,0,0,0.240964,0.00086295,37404.4,0,0,0,0,0,0
10,1,0.00379054,183469,1,0.00289373,181786,1,0.00257628,180102,0.740566,0.00263906,132131,0.5,0.000933287,87526.4,0.5,0.00103246,86684.8,0.5,0.000890453,85843.2,0.5,0.000787381,85001.6,1,0.0028206,168320,0.719388,0.0114601,118666,0.216495,0.000814337,35347.2,0,0,0,0.210526,0.00086295,33664,0,0,0,0,0,0
11,1,0.00382221,186682,1,0.00290711,183622,1,0.00257165,182092,0.745763,0.00334041,134656,0.5,0.000926237,89515.6,0.5,0.00105403,87985.5,0.5,0.000883841,87220.4,0.5,0.000783959,86455.3,1,0.00283619,171380,0.725225,0.0112032,123180,0.220183,0.000806934,36724.4,0,0,0,0.186916,0.00086295,30603.6,0,0,0,0,0,0
12,1,0.00383528,187957,1,0.00290169,186555,1,0.00254998,183749,0.769231,0.00319291,140267,0.5,0.000910317,90472,0.5,0.0010244,89770.7,0.5,0.000871583,88368,0.5,0.000781194,87666.7,1,0.00278762,173931,0.752033,0.0104004,129747,0.25,0.000795888,42781.3,0,0,0,0.168067,0.00086295,28053.3,0,0,0,0,0,0
